"age","year","numbers"
"3","2004",0.00616488792689024
"4","2004",0.00611802992418925
"5","2004",0.0114170492311942
"1","2005",0.365464604347843
"2","2005",0.0250561299069499
"3","2005",0.01614445637877
"4","2005",0.019220577961157
"5","2005",0.0299591339670245
"1","2006",0.50544521647796
"2","2006",0.0226715699476801
"3","2006",0.00810863540348253
"4","2006",0.00997748680858826
"5","2006",0.0150186013122156
"1","2007",0.637633899747021
"2","2007",0.0536424402645903
"3","2007",0.00998029192075536
"4","2007",0.0103828985798566
"5","2007",0.0185001345409504
"1","2008",0.629100076683707
"2","2008",0.0890007838671069
"3","2008",0.00834541718746879
"4","2008",0.00834210330616614
"5","2008",0.0154625212628882
"1","2009",1.03347770826204
"2","2009",0.0122819945679281
"3","2009",0.00518111545430382
"4","2009",0.00543912455012786
"5","2009",0.00952550786829268
"1","2010",1.67520285808922
"2","2010",0.00933160344362282
"3","2010",0.00319613089124202
"4","2010",0.00316796711743742
"5","2010",0.00577720952667451
"1","2011",3.53645070957511
"2","2011",0.00683005151067106
"3","2011",0.00194748698565876
"4","2011",0.00189163002414008
"5","2011",0.00327330521019764
"1","2012",3.05225297368627
"2","2012",0.00821557854882259
"3","2012",0.00268742692139644
"4","2012",0.00239129642217335
"5","2012",0.00470045437346487
"1","2013",2.20120010982086
"2","2013",0.0132864609704497
"3","2013",0.008135413185796
"4","2013",0.003324164701337
"5","2013",0.0148884678748441
"1","2014",2.11074854494824
"2","2014",0.0193982319319218
"3","2014",0.0095420240963714
"4","2014",0.0114000600784564
"5","2014",0.0175157946490806
"1","2015",3.72719066578409
"2","2015",0.00371455314700283
"3","2015",0.00291041514410248
"4","2015",0.00310865879797411
"5","2015",0.00504138436577946
"1","2016",2.56282296338775
"2","2016",0.0198869476626805
"3","2016",0.0207916088383218
"4","2016",0.0270602016180201
"5","2016",0.0383855827572851
"1","2017",2.58458202077474
"2","2017",0.0144149246677438
"3","2017",0.00310922608030257
"4","2017",0.00314043641571123
"5","2017",0.00552119440657677
"1","2018",2.67529877987956
"2","2018",0.0120927244519011
"3","2018",0.00204485075436107
"4","2018",0.00209158084419865
"5","2018",0.00354255120541878
"1","2019",2.79384733048857
"2","2019",0.125705298290915
"3","2019",0.00677973916619857
"4","2019",0.00608179324352139
"5","2019",0.0123473278751016
"1","2020",2.47652765306492
"2","2020",0.0334838064171104
"3","2020",0.00772459228617197
"4","2020",0.00710610078278483
"5","2020",0.0141097805290191
"1","2021",3.01639595306589
"2","2021",0.0289895193153556
"3","2021",0.00874657190261229
"4","2021",0.00995347818977101
"5","2021",0.0159668878861217
"1","2022",2.60156989905646
"2","2022",0.159913528478402
"3","2022",0.0115022105257365
"4","2022",0.00863532040484432
"5","2022",0.0211362521158541
"1","2023",2.78116347190654
"2","2023",0.109469167719034
"3","2023",0.0168912316396759
"4","2023",0.0155134113472803
"5","2023",0.0311358083347659
"1","2024",2.77868462758654
"2","2024",0.0382140225043851
"3","2024",0.0431485628000285
"4","2024",0.0181025236606483
"5","2024",0.0799098674357841
"1","2025",3.23115968898648
"2","2025",0.0319352273848826
"3","2025",0.0489945300951469
"4","2025",0.0627667614815015
"5","2025",0.0907170057261264
"1","2026",3.22790190687636
"2","2026",0.057239332823826
"3","2026",0.033396395590228
"4","2026",0.0416283624657611
"5","2026",0.0617293966040451
"1","2027",3.60028749167173
"2","2027",0.0254166854499987
"3","2027",0.0256786541797053
"4","2027",0.0326248484213453
"5","2027",0.0473584204821041
"1","2028",3.95590177077522
"2","2028",0.0286408469552
"3","2028",0.0318848127015136
"4","2028",0.0236372067199575
"5","2028",0.0588514142946542
"1","2029",4.38338310464664
"2","2029",0.0111353905304783
"3","2029",0.0256004661492674
"4","2029",0.0333047755908611
"5","2029",0.047125131320394
"1","2030",4.77868381083129
"2","2030",0.00561708918789566
"3","2030",0.0223637309455096
"4","2030",0.0226117755839078
"5","2030",0.0410698035872692
"1","2031",5.15831861551678
"2","2031",0.00634291506728004
"3","2031",0.0157589563068427
"4","2031",0.0199636545217466
"5","2031",0.0287573919245104
"1","2032",5.51449758552831
"2","2032",0.00852423881227798
"3","2032",0.0107709526390294
"4","2032",0.0133081048365306
"5","2032",0.0194530578882016
"1","2033",5.84854534034516
"2","2033",0.0114341639111263
"3","2033",0.00795671143245578
"4","2033",0.00922266341419641
"5","2033",0.014189838383851
"1","2034",6.15474974152703
"2","2034",0.0169114286907364
"3","2034",0.00609414471564549
"4","2034",0.00701710288586872
"5","2034",0.0106981144046962
"1","2035",6.42602279464059
"2","2035",0.023381451139503
"3","2035",0.00507464845562645
"4","2035",0.00557130936975435
"5","2035",0.00877648061734382
"1","2036",6.66331641422681
"2","2036",0.0291806340292659
"3","2036",0.00457148896481563
"4","2036",0.00480833202543486
"5","2036",0.00781775552931125
"1","2037",6.86578103139234
"2","2037",0.0351068710053482
"3","2037",0.00447405672726717
"4","2037",0.00443941561326214
"5","2037",0.00761654812101109
"1","2038",7.03612696278272
"2","2038",0.0409734610712812
"3","2038",0.00449926738880737
"4","2038",0.00437929593769667
"5","2038",0.00764661106107406
"1","2039",7.17721704651156
"2","2039",0.0463087816717007
"3","2039",0.00468004553280823
"4","2039",0.00440504746651569
"5","2039",0.00796874641613068
"1","2040",7.29272337954531
"2","2040",0.0509574372641705
"3","2040",0.00493670574686109
"4","2040",0.00454847043692364
"5","2040",0.00843444794309341
"1","2041",7.38618737493457
"2","2041",0.0549876078227798
"3","2041",0.00521694749149737
"4","2041",0.0047467909117829
"5","2041",0.00894615131970365
"1","2042",7.46118698337346
"2","2042",0.058411716117772
"3","2042",0.00548811278880466
"4","2042",0.0049612448734716
"5","2042",0.00944280853916356
"1","2043",7.5209048198554
"2","2043",0.0612672571162125
"3","2043",0.00574805937671895
"4","2043",0.0051676993418478
"5","2043",0.00992010990741851
"1","2044",7.56816927850812
"2","2044",0.0636079680929575
"3","2044",0.00598805941116238
"4","2044",0.00536515560022684
"5","2044",0.0103615499335001
"1","2045",7.60539446053955
"2","2045",0.0655012106364199
"3","2045",0.00620368563240479
"4","2045",0.00554711855512712
"5","2045",0.0107586629596145
"1","2046",7.63459864016797
"2","2046",0.0670166835763411
"3","2046",0.00639222793326917
"4","2046",0.00571040114696037
"5","2046",0.011106216358493
"1","2047",7.6574401756089
"2","2047",0.0682200645903949
"3","2047",0.00655341217704969
"4","2047",0.0058530462190472
"5","2047",0.0114035410473782
"1","2048",7.67526221789843
"2","2048",0.0691697290757215
"3","2048",0.00668865813854945
"4","2048",0.0059749150745413
"5","2048",0.0116531467005339
"1","2049",7.68914168445587
"2","2049",0.0699155721861192
"3","2049",0.00680039054847065
"4","2049",0.00607712535595374
"5","2049",0.0118594362217371
"1","2050",7.69993491913807
"2","2050",0.0704991681165491
"3","2050",0.00689152669015035
"4","2050",0.00616153696307652
