"age","year","M2"
"3","2089",0
"4","2089",0
"5","2089",0.000376758234355581
"1","2090",0.0603853555867354
"2","2090",0
"3","2090",0
"4","2090",0
"5","2090",0.000376758234355581
"1","2091",0.0603853555867354
"2","2091",0
"3","2091",0
"4","2091",0
"5","2091",0.000376758234355581
"1","2092",0.0603853555867354
"2","2092",0
"3","2092",0
"4","2092",0
"5","2092",0.000376758234355581
"1","2093",0.0603853555867354
"2","2093",0
"3","2093",0
"4","2093",0
"5","2093",0.000376758234355581
"1","2094",0.0603853555867354
"2","2094",0
"3","2094",0
"4","2094",0
"5","2094",0.000376758234355581
"1","2095",0.0603853555867354
"2","2095",0
"3","2095",0
"4","2095",0
"5","2095",0.000376758234355581
"1","2096",0.0603853555867354
"2","2096",0
"3","2096",0
"4","2096",0
"5","2096",0.000376758234355581
"1","2097",0.0603853555867354
"2","2097",0
"3","2097",0
"4","2097",0
"5","2097",0.000376758234355581
"1","2098",0.0603853555867354
"2","2098",0
"3","2098",0
"4","2098",0
"5","2098",0.000376758234355581
"1","2099",0.0603853555867354
"2","2099",0
"3","2099",0
"4","2099",0
"5","2099",0.000376758234355581
"1","2100",0.0603853555867354
"2","2100",0
"3","2100",0
"4","2100",0
"5","2100",0.000376758234355581
